Italian,English
e,And
non,Not
che,That
di,Of
la,there
il,The
un,a
a,to
per,For
è,And
in,in
una,a
mi,me
sono,I am
ho,I have
l',the
si,Yes
ha,ha
ma,but
lo,the
cosa,What
con,with
no,No
le,the
ti,you
se,if
da,from
i,the
come,as
io,I
ci,There
hai,you have
questo,This
bene,Well
qui,here
sei,six
del,of
tu,you
solo,Alone
mio,my
al,al
me,me
tutto,All
c',there
te,tea
era,era
della,from the
mia,my
fatto,Done
fare,Do
essere,to be
so,I know
quando,When
sì,Yes
ora,Now
lei,she
gli,The
ne,no
oh,Oh
questa,this
detto,said
ok,ok
va,go
perche,Why
quello,that
mai,never
alla,at the
o,or
anche,Also
stato,state
abbiamo,we have
tutti,everyone
dei,of the
grazie,Thank you
chi,Who
sta,is
molto,Very
più,more
voglio,I want
perché,Why
tuo,your
beh,Well
sia,is
nel,In the
lui,him
allora,At that time
posso,I can
piu,more
ehi,Hey
prima,Before
tua,your
suo,his
niente,Nothing
qualcosa,something
sai,you know
siamo,we are
un',a
cosi,Like this
davvero,Really
ancora,Still
